[I 2023-12-26 11:46:09,257] A new study created in RDB with name: GATv2Conv
/home/kuangr/inoue019/.conda/envs/py39/lib/python3.9/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
[I 2023-12-26 13:53:46,582] Trial 0 finished with values: [22314.080096066453, 30341.865569378697] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-26 14:12:31,280] Trial 1 finished with values: [25122.07493359375, 30015.594644036093] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 14:22:36,285] Trial 2 finished with values: [26201.47677723522, 31103.86353401141] and parameters: {'batch_size': 10, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 14:30:54,102] Trial 3 finished with values: [23931.395974343483, 28897.57258691922] and parameters: {'batch_size': 25, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 14:41:33,438] Trial 4 finished with values: [26161.4619068517, 33405.45335258872] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 16:09:50,023] Trial 5 finished with values: [21289.446334698318, 31849.788104989435] and parameters: {'batch_size': 10, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-26 16:46:22,184] Trial 6 finished with values: [21529.305395507814, 29515.25568056778] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-26 17:00:38,247] Trial 7 finished with values: [26240.473489358497, 30511.202119209396] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 17:46:41,452] Trial 8 finished with values: [22695.435206549617, 29700.635421925344] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 17:56:43,255] Trial 9 finished with values: [24314.25383366765, 29075.640673462774] and parameters: {'batch_size': 25, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 18:05:22,600] Trial 10 finished with values: [24342.643616516907, 29700.631051506796] and parameters: {'batch_size': 25, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 19:16:00,743] Trial 11 finished with values: [20773.93187279076, 31162.96650201502] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 20:34:18,061] Trial 12 finished with values: [19887.05613047129, 30820.949466329224] and parameters: {'batch_size': 25, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 21:51:12,974] Trial 13 finished with values: [19571.542630859374, 29073.034592319542] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 22:26:59,738] Trial 14 finished with values: [20033.726316404296, 29702.6337839046] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 23:56:26,137] Trial 15 finished with values: [21115.407919184418, 39088.47622646181] and parameters: {'batch_size': 10, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 00:39:46,981] Trial 16 finished with values: [21540.191208984375, 28209.569184639084] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 00:49:15,270] Trial 17 finished with values: [27864.911184546945, 30924.342519210557] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 02:20:34,384] Trial 18 finished with values: [24214.11185981772, 34638.07104664603] and parameters: {'batch_size': 10, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 02:28:41,392] Trial 19 finished with values: [25589.615873046874, 31666.118714238557] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 02:36:35,631] Trial 20 finished with values: [24595.898743225647, 28719.43835621149] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 02:46:22,936] Trial 21 finished with values: [28370.862519459388, 34219.50586834062] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 04:03:23,485] Trial 22 finished with values: [20155.787252929687, 29363.171434859156] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 04:38:39,684] Trial 23 finished with values: [22385.4091484375, 29737.992833956865] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 04:48:48,890] Trial 24 finished with values: [30093.463452480868, 33039.865851968025] and parameters: {'batch_size': 10, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 06:03:45,744] Trial 25 finished with values: [20398.822778100366, 30702.279818682604] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 06:20:30,385] Trial 26 finished with values: [25183.60203222656, 29746.652295609594] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 06:53:47,543] Trial 27 finished with values: [19900.16275292969, 30315.986396897006] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
