[I 2023-12-26 11:46:16,834] A new study created in RDB with name: cmap_GCNConv
/home/kuangr/inoue019/.conda/envs/py39/lib/python3.9/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
[I 2023-12-26 13:28:02,190] Trial 0 finished with values: [15290.939334831191, 47166.53457141596] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-26 14:41:21,864] Trial 1 finished with values: [21535.33974672915, 37659.41522818552] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 14:57:23,823] Trial 2 finished with values: [27754.927205281452, 32431.11005412357] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 15:59:50,242] Trial 3 finished with values: [17942.385022473645, 34435.451699700156] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 16:37:58,489] Trial 4 finished with values: [21617.94575, 33079.95280864877] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 17:28:52,995] Trial 5 finished with values: [26916.639474620522, 32599.267286397644] and parameters: {'batch_size': 10, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 18:43:35,560] Trial 6 finished with values: [18683.862408428937, 34315.90303275955] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 18:58:46,584] Trial 7 finished with values: [28493.102138271082, 32945.05975599692] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 19:48:23,739] Trial 8 finished with values: [27713.188275882232, 33248.813961050604] and parameters: {'batch_size': 10, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 21:03:53,506] Trial 9 finished with values: [18380.8155878046, 48059.10763850682] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 22:10:35,201] Trial 10 finished with values: [20812.05668017578, 34520.47945092429] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 22:22:10,214] Trial 11 finished with values: [27307.906619140624, 32463.16776243398] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 22:34:45,029] Trial 12 finished with values: [28825.55145673017, 32660.250821825484] and parameters: {'batch_size': 25, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
