[I 2023-12-26 11:46:26,708] A new study created in RDB with name: transformer
/home/kuangr/inoue019/.conda/envs/py39/lib/python3.9/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
[I 2023-12-26 12:09:50,967] Trial 0 finished with values: [25986.26790917969, 30803.394847601234] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 12:26:01,081] Trial 1 finished with values: [26635.82103125, 29766.271828235036] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 13:00:26,121] Trial 2 finished with values: [21229.293625976563, 27806.454541703344] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-26 13:46:46,505] Trial 3 finished with values: [21251.043804860754, 28394.71646480237] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-26 15:18:15,981] Trial 4 finished with values: [22535.607885639525, 42814.299039506644] and parameters: {'batch_size': 10, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 15:36:06,154] Trial 5 finished with values: [25566.883153320312, 29336.044192891724] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 15:45:34,435] Trial 6 finished with values: [26919.597207591494, 33301.0820015945] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 17:11:21,404] Trial 7 finished with values: [20846.86775946321, 34866.591953600866] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 18:21:30,115] Trial 8 finished with values: [18592.70681225586, 28449.447705765844] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 18:39:18,933] Trial 9 finished with values: [25966.997671499623, 28871.106997207855] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 18:48:55,562] Trial 10 finished with values: [26401.049223105812, 30963.702654994813] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
