[I 2023-12-26 14:01:21,827] Using an existing study with name 'TransformerConv' instead of creating a new one.
/home/kuangr/inoue019/.conda/envs/py39/lib/python3.9/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
[I 2023-12-26 14:19:50,237] Trial 3 finished with values: [36234.35628125, 39217.009765625] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 14:44:47,933] Trial 4 finished with values: [36746.66591036677, 40200.413818359375] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-26 15:08:08,990] Trial 5 finished with values: [35507.73903515625, 38617.03078235035] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-26 15:10:33,164] Trial 6 finished with values: [39609.293345703125, 42928.575951804574] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 15:32:01,211] Trial 7 finished with values: [37556.3456875, 41474.696302816905] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-26 15:42:51,982] Trial 8 finished with values: [36706.730232421876, 40189.443689480635] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 15:54:44,891] Trial 9 finished with values: [37736.7237578125, 41087.00722106074] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-26 15:57:01,911] Trial 10 finished with values: [39066.7248359375, 42081.528428819445] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 16:22:31,342] Trial 11 finished with values: [35880.5180234375, 39364.81081814236] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 16:25:20,208] Trial 12 finished with values: [38533.9014921875, 43121.19411892361] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 16:48:44,869] Trial 13 finished with values: [37013.353490234374, 40562.57038127201] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 17:12:19,831] Trial 14 finished with values: [36400.51787890625, 39977.33775308099] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 17:14:44,988] Trial 15 finished with values: [40806.29288867187, 44373.97524207747] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 17:36:30,855] Trial 16 finished with values: [36996.9821328125, 40595.2724609375] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 18:00:06,450] Trial 17 finished with values: [37672.65915234375, 40992.12373459507] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 18:02:23,662] Trial 18 finished with values: [39237.07140625, 42785.222059461805] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 18:24:09,282] Trial 19 finished with values: [38098.6113984375, 41746.07115151849] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 18:26:44,979] Trial 20 finished with values: [38776.17767578125, 42242.885797205105] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 18:51:51,666] Trial 21 finished with values: [35318.25864287051, 38944.08829752604] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 19:17:29,384] Trial 22 finished with values: [37448.4192109375, 40917.16384548611] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 19:44:44,845] Trial 23 finished with values: [37240.150009765624, 40768.44985145247] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 20:00:13,759] Trial 24 finished with values: [36736.49990643712, 40602.3466796875] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-26 20:13:52,162] Trial 25 finished with values: [35887.48593164062, 39011.32651573503] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-26 20:27:35,539] Trial 26 finished with values: [38894.86124609375, 42562.83570367518] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
