[I 2023-12-26 14:01:21,840] Using an existing study with name 'GCNConv' instead of creating a new one.
/home/kuangr/inoue019/.conda/envs/py39/lib/python3.9/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
[I 2023-12-26 14:24:09,610] Trial 3 finished with values: [38920.280712013475, 42322.36319986979] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 14:37:42,208] Trial 4 finished with values: [37890.59497801273, 42075.025634765625] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 14:39:24,323] Trial 5 finished with values: [45418.2502421875, 49277.03835720486] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 14:46:34,205] Trial 6 finished with values: [45461.9102578125, 49477.944715711805] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-26 14:48:24,465] Trial 7 finished with values: [44547.273479492185, 49547.38308758803] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 15:02:57,009] Trial 8 finished with values: [39370.81835546875, 42771.21489800347] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-26 15:20:06,630] Trial 9 finished with values: [39727.95224023437, 43535.46921764965] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 15:27:19,788] Trial 10 finished with values: [39738.699651478295, 43782.6904296875] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 15:41:01,676] Trial 11 finished with values: [40349.91523203593, 43235.38875325521] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 15:42:50,661] Trial 12 finished with values: [45428.39960703593, 49486.797526041664] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 15:57:07,204] Trial 13 finished with values: [39817.38965428518, 42984.44197591146] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 16:12:33,535] Trial 14 finished with values: [38982.47982550524, 42035.56884765625] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 16:21:27,920] Trial 15 finished with values: [40421.044116210935, 44009.93595950704] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 16:37:24,171] Trial 16 finished with values: [39322.73521875, 42190.97357855903] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 16:44:30,683] Trial 17 finished with values: [40461.8580534244, 43737.857421875] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 16:57:14,356] Trial 18 finished with values: [39990.5710625, 42730.643717447914] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 17:11:16,661] Trial 19 finished with values: [39611.583265625, 42919.658203125] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 17:26:50,624] Trial 20 finished with values: [39993.8964921875, 43818.008390184856] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 17:33:51,362] Trial 21 finished with values: [45305.005461732784, 49398.04581705729] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 17:35:40,115] Trial 22 finished with values: [41940.76951955464, 46192.071044921875] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 17:37:21,816] Trial 23 finished with values: [45254.327375, 48790.167154947914] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 17:39:00,914] Trial 24 finished with values: [45308.34941055389, 49304.156901041664] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 17:46:29,214] Trial 25 finished with values: [39169.1660703125, 41732.577799479164] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-26 18:00:21,517] Trial 26 finished with values: [39443.659641654194, 42554.60310872396] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 18:07:23,513] Trial 27 finished with values: [39505.69353480539, 42232.273193359375] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-26 18:23:34,847] Trial 28 finished with values: [39285.378953125, 42616.151766065144] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-26 18:25:18,702] Trial 29 finished with values: [45603.85075552021, 49503.7978515625] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 18:40:53,218] Trial 30 finished with values: [39740.381009765624, 43646.73085387324] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 18:42:45,435] Trial 31 finished with values: [43390.8091484375, 47469.10051716549] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 18:44:36,906] Trial 32 finished with values: [44258.64868066406, 48944.398382482395] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 18:51:54,686] Trial 33 finished with values: [45443.5234921875, 49400.991590711805] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-26 19:07:32,601] Trial 34 finished with values: [41832.02475488281, 46513.87095620599] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 19:09:15,426] Trial 35 finished with values: [45660.77282934132, 49660.214192708336] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 19:26:52,939] Trial 36 finished with values: [40100.020755859376, 44022.824823943665] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 19:34:00,205] Trial 37 finished with values: [45608.865515063626, 49459.20947265625] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 19:41:18,964] Trial 38 finished with values: [40402.97918226048, 43578.19425455729] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 19:50:13,985] Trial 39 finished with values: [40522.877056640624, 44130.27704115317] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 19:51:56,877] Trial 40 finished with values: [45425.11604135479, 49194.931640625] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 19:59:53,098] Trial 41 finished with values: [39395.308137630986, 44346.99910481771] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 20:07:21,861] Trial 42 finished with values: [40092.45171875, 43301.46733940972] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 20:14:37,931] Trial 43 finished with values: [39559.91303330838, 44475.425537109375] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 20:30:52,296] Trial 44 finished with values: [39644.32123925781, 43284.294921875] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
