,Drug,Target_ID,Y
1557,mol_78698,O00141,11.1
1558,mol_78698,O00329,11.401029995999998
1559,mol_78698,O14920,11.1
1560,mol_78698,O14965,11.1
1561,mol_78698,O43293,11.1
1562,mol_78698,O75582,11.1
1563,mol_78698,O96017,11.1
1564,mol_78698,P04049,11.555931955999998
1565,mol_78698,P04626,11.555931955999998
1566,mol_78698,P05129,11.1
1567,mol_78698,P05771,11.1
1568,mol_78698,P07947,11.1
1569,mol_78698,P07948,11.1
1570,mol_78698,P07949,11.1
1571,mol_78698,P08069,11.1
1572,mol_78698,P08631,11.1
1573,mol_78698,P08922,11.1
1574,mol_78698,P09619,11.555931955999998
1575,mol_78698,P11309,11.555931955999998
1576,mol_78698,P11362,11.1
1577,mol_78698,P17252,11.1
1578,mol_78698,P21802,11.1
1579,mol_78698,P22455,11.1
1580,mol_78698,P24723,11.1
1581,mol_78698,P28482,11.1
1582,mol_78698,P30530,11.1
1583,mol_78698,P31749,11.555931955999998
1584,mol_78698,P31751,11.1
1585,mol_78698,P34947,11.1
1586,mol_78698,P35968,11.555931955999998
1587,mol_78698,P41240,11.1
1588,mol_78698,P42338,11.401029995999998
1589,mol_78698,P43403,11.1
1590,mol_78698,P45983,11.1
1591,mol_78698,P48736,11.401029995999998
1592,mol_78698,P49137,11.1
1593,mol_78698,P49760,11.1
1594,mol_78698,P51451,11.1
1595,mol_78698,P51812,11.1
1596,mol_78698,P51955,11.1
1597,mol_78698,Q00535,11.1
1598,mol_78698,Q02156,11.1
1599,mol_78698,Q04759,11.1
1600,mol_78698,Q05397,11.555931955999998
1601,mol_78698,Q05513,11.1
1602,mol_78698,Q05655,11.1
1603,mol_78698,Q06418,11.1
1604,mol_78698,Q08881,11.1
1605,mol_78698,Q12866,11.1
1606,mol_78698,Q13464,11.1
1607,mol_78698,Q14289,11.1
1608,mol_78698,Q16644,11.1
1609,mol_78698,Q7L7X3,11.1
1610,mol_78698,Q8IW41,11.1
1611,mol_78698,Q8TDC3,11.1
1612,mol_78698,Q96RG2,11.1
1613,mol_78698,Q9BXA7,11.1
1614,mol_78698,Q9BZL6,11.1
1615,mol_78698,Q9H4B4,11.1
1616,mol_78698,Q9HBH9,11.1
1617,mol_78698,Q9HBY8,11.1
